vacID,dateID,province,partial,fully,booster
1055,82,AB,8942981,3412985,1703317
1056,82,SK,2527074,915908,503457
1057,82,MB,2863534,1108820,593160
1058,82,ON,34132591,12250288,7464063
1059,82,QC,20613565,7188643,4543013
1060,82,NL,1264499,476756,289311
1061,82,NB,1757172,661271,395689
1062,82,NS,2235685,842600,503257
1063,82,PE,391227,144466,83158
1064,82,YT,92743,35380,20672
1065,82,NT,102863,39663,20278
1066,82,NU,77083,29021,14519
1067,83,BC,12206980,4387271,2797169
1068,83,AB,8978340,3414320,1706531
1069,83,SK,2527074,915908,503457
1070,83,MB,3001252,1101542,607635
1071,83,ON,34297575,12256163,7478279
1072,83,QC,20656584,7190631,4550775
1073,83,NL,1264499,476756,289311
1074,83,NB,1757172,661271,395689
1075,83,NS,2235685,842600,503257
1076,83,PE,391227,144466,83158
1077,83,YT,92743,35380,20672
1078,83,NT,102863,39663,20278
1079,83,NU,77083,29021,14519
1080,84,BC,12234222,4388711,2801619
1081,84,AB,8999088,3415323,1708895
1082,84,SK,2527074,915908,503457
1083,84,MB,3001252,1101542,607635
1084,84,ON,34430880,12261684,7491878
1085,84,QC,20764664,7192481,4557587
1086,84,NL,1264499,476756,289311
1087,84,NB,1757172,661271,395689
1088,84,NS,2235685,842600,503257
1089,84,PE,391227,144466,83158
1090,84,YT,92743,35380,20672
1091,84,NT,102863,39663,20278
1092,84,NU,77083,29021,14519
1093,85,BC,12259478,4390154,2805607
1094,85,AB,9039069,3416644,1712827
1095,85,SK,2527074,915908,503457
1096,85,MB,3001252,1101542,607635
1097,85,ON,34541680,12267284,7503508
1098,85,QC,20796444,7194089,4563534
1099,85,NL,1264499,476756,289311
1100,85,NB,1757172,661271,395689
1101,85,NS,2235685,842600,503257
1102,85,PE,391227,144466,83158
1103,85,YT,92743,35380,20672
1104,85,NT,102863,39663,20278
1105,85,NU,77083,29021,14519
1106,86,BC,12283721,4391562,2809598
1107,86,AB,9141292,3419175,1722238
1108,86,SK,2533382,916695,505063
1109,86,MB,3001252,1101542,607635
1110,86,ON,34631321,12273112,7513534
1111,86,QC,20908542,7196134,4572002
1112,86,NL,1264499,476756,289311
1113,86,NB,1757172,661271,395689
1114,86,NS,2235685,842600,503257
1115,86,PE,391227,144466,83158
1116,86,YT,92743,35380,20672
1117,86,NT,102863,39663,20278
1118,86,NU,77083,29021,14519
1119,87,BC,12283721,4391562,2809598
1120,87,AB,9168950,3420533,1725843
1121,87,SK,2533382,916695,505063
1122,87,MB,3001252,1101542,607635
1123,87,ON,34715368,12279312,7525728
1124,87,QC,21014555,7197513,4578096
1125,87,NL,1264499,476756,289311
1126,87,NB,1757172,661271,395689
1127,87,NS,2235685,842600,503257
1128,87,PE,391227,144466,83158
1129,87,YT,92743,35380,20672
1130,87,NT,102863,39663,20278
1131,87,NU,77083,29021,14519
1132,88,BC,12323527,4394224,2817057
1133,88,AB,9194772,3422049,1729819
1134,88,SK,2533382,916695,505063
1135,88,MB,3001252,1101542,607635
1136,88,ON,34796917,12285851,7545000
1137,88,QC,21134499,7199296,4585492
1138,88,NL,1264499,476756,289311
1139,88,NB,1757172,661271,395689
1140,88,NS,2235685,842600,503257
1141,88,PE,391227,144466,83158
1142,88,YT,92743,35380,20672
1143,88,NT,102863,39663,20278
1144,88,NU,77083,29021,14519
1145,89,BC,12343991,4395973,2824017
1146,89,AB,9217066,3423156,1736333
1147,89,SK,2533382,916695,505063
1148,89,MB,3001252,1101542,607635
1149,89,ON,34856793,12290036,7562990
1150,89,QC,21219508,7200474,4591833
1151,89,NL,1264499,476756,289311
1152,89,NB,1757172,661271,395689
1153,89,NS,2235685,842600,503257
1154,89,PE,391227,144466,83158
1155,89,YT,92743,35380,20672
1156,89,NT,102863,39663,20278
1157,89,NU,77083,29021,14519
1158,90,BC,12367515,4396892,2835501
1159,90,AB,9235395,3424064,1740443
1160,90,SK,2533382,916695,505063
1161,90,MB,3001252,1101542,607635
1162,90,ON,34943960,12294399,7576843
1163,90,QC,21353986,7201812,4598708
1164,90,NL,1264499,476756,289311
1165,90,NB,1757172,661271,395689
1166,90,NS,2235685,842600,503257
1167,90,PE,391227,144466,83158
1168,90,YT,92743,35380,20672
1169,90,NT,102863,39663,20278
1170,90,NU,77083,29021,14519
1171,91,BC,12419400,4398096,2846500
1172,91,AB,9246916,3424948,1743220
1173,91,SK,2533382,916695,505063
1174,91,MB,3001252,1101542,607635
1175,91,ON,35067395,12298954,7586354
1176,91,QC,21487932,7203648,4605792
1177,91,NL,1264499,476756,289311
1178,91,NB,1757172,661271,395689
1179,91,NS,2235685,842600,503257
1180,91,PE,391227,144466,83158
1181,91,YT,92743,35380,20672
1182,91,NT,102863,39663,20278
1183,91,NU,77083,29021,14519
1184,92,BC,12541872,4399082,2856792
1185,92,AB,9285898,3425775,1746578
1186,92,SK,2533382,916695,505063
1187,92,MB,3001252,1101542,607635
1188,92,ON,35303013,12304281,7597831
1189,92,QC,21629376,7206045,4613326
1190,92,NL,1264499,476756,289311
1191,92,NB,1757172,661271,395689
1192,92,NS,2235685,842600,503257
1193,92,PE,391227,144466,83158
1194,92,YT,92743,35380,20672
