covidID,dateID,province,totalcases,numdeaths,recovery
1614,125,AB,633076,5761,523679
1615,125,SK,155905,1986,113023
1616,125,MB,156183,2503,129338
1617,125,ON,1620888,17180,1587996
1618,125,QC,1344331,18052,1099129
1619,125,NL,55435,345,25162
1620,125,NB,90652,883,65138
1621,125,NS,143488,866,43018
1622,125,PE,57276,104,41242
1623,125,YT,4989,32,4489
1624,125,NT,11511,22,11327
1625,125,NU,3531,7,3435
1626,126,BC,402077,5663,307963
1627,126,AB,633287,5767,523679
1628,126,SK,155981,1991,113023
1629,126,MB,156243,2503,129338
1630,126,ON,1622095,17196,1587996
1631,126,QC,1345710,18085,1099129
1632,126,NL,55468,345,25162
1633,126,NB,90946,897,65138
1634,126,NS,143696,866,43018
1635,126,PE,57286,104,41242
1636,126,YT,4989,32,4489
1637,126,NT,11511,22,11327
1638,126,NU,3531,7,3435
1639,127,BC,402285,5701,307963
1640,127,AB,633478,5783,523679
1641,127,SK,156017,1993,113023
1642,127,MB,156293,2503,129338
1643,127,ON,1623247,17214,1587996
1644,127,QC,1347063,18117,1099129
1645,127,NL,55497,348,25162
1646,127,NB,90946,897,65138
1647,127,NS,143824,866,43018
1648,127,PE,57286,104,41242
1649,127,YT,4989,32,4489
1650,127,NT,11511,22,11327
1651,127,NU,3531,7,3435
1652,128,BC,402468,5730,307963
1653,128,AB,633602,5794,523679
1654,128,SK,156053,1995,113023
1655,128,MB,156339,2505,129338
1656,128,ON,1624127,17226,1587996
1657,128,QC,1348091,18138,1099129
1658,128,NL,55549,348,25162
1659,128,NB,90946,897,65138
1660,128,NS,143824,866,43018
1661,128,PE,57286,104,41242
1662,128,YT,4989,32,4489
1663,128,NT,11511,22,11327
1664,128,NU,3531,7,3435
1665,129,BC,402639,5749,307963
1666,129,AB,633693,5798,523679
1667,129,SK,156090,1995,113023
1668,129,MB,156377,2505,129338
1669,129,ON,1624879,17245,1587996
1670,129,QC,1348903,18148,1099129
1671,129,NL,55586,349,25162
1672,129,NB,90946,897,65138
1673,129,NS,143824,866,43018
1674,129,PE,57286,104,41242
1675,129,YT,4989,32,4489
1676,129,NT,11511,22,11327
1677,129,NU,3531,7,3435
1678,130,BC,402804,5769,307963
1679,130,AB,633781,5801,523679
1680,130,SK,156123,1997,113023
1681,130,MB,156411,2505,129338
1682,130,ON,1625512,17254,1587996
1683,130,QC,1349552,18162,1099129
1684,130,NL,55647,349,25162
1685,130,NB,91157,913,65138
1686,130,NS,143824,866,43018
1687,130,PE,57327,105,41242
1688,130,YT,4989,32,4489
1689,130,NT,11511,22,11327
1690,130,NU,3531,7,3435
1691,131,BC,402989,5783,307963
1692,131,AB,633877,5808,523679
1693,131,SK,156157,1998,113023
1694,131,MB,156434,2505,129338
1695,131,ON,1626030,17264,1587996
